comparison,group1,group2,metric,t_statistic,p_value,significant,effect_size,mean_diff,group1_mean,group2_mean,group1_std,group2_std,group1_n,group2_n,model_type,feature_selection
data_type_within_RF_CFS,fimo,deep,f1,-3.629640709022286,0.011410233774556175,True,-2.2955863457157784,-0.08863009704321434,0.774463334797437,0.8630934318406513,0.04888585972793234,0.02432014150305372,5,5,RF,CFS
data_type_within_RF_CFS,fimo,rp,f1,2.369857179204775,0.04889106608528799,True,1.498829283117782,0.090556591775529,0.774463334797437,0.683906743021908,0.04888585972793234,0.07007777416958169,5,5,RF,CFS
data_type_within_RF_CFS,fimo,reg,f1,-5.234744067817399,0.0011976110758801445,True,-3.310742844471582,-0.1380480013853811,0.774463334797437,0.9125113361828181,0.04888585972793234,0.03297650937239054,5,5,RF,CFS
data_type_within_RF_CFS,deep,rp,f1,5.401521376054879,0.003030623444016707,True,3.416222075684061,0.17918668881874333,0.8630934318406513,0.683906743021908,0.02432014150305372,0.07007777416958169,5,5,RF,CFS
data_type_within_RF_CFS,deep,reg,f1,-2.6968351246642666,0.029374587017355343,True,-1.7056282935766431,-0.04941790434216675,0.8630934318406513,0.9125113361828181,0.02432014150305372,0.03297650937239054,5,5,RF,CFS
data_type_within_RF_CFS,rp,reg,f1,-6.600156722778647,0.0007221926265702539,True,-4.174305631610611,-0.22860459316091009,0.683906743021908,0.9125113361828181,0.07007777416958169,0.03297650937239054,5,5,RF,CFS
data_type_within_RF_CFS,fimo,deep,precision,-3.274395307713368,0.015905195666531462,True,-2.07090942642843,-0.08831776793783852,0.7744432601039047,0.8627610280417433,0.052674078815044205,0.02937600044564838,5,5,RF,CFS
data_type_within_RF_CFS,fimo,rp,precision,2.3697045693921464,0.04975086861232508,True,1.498732764197543,0.10052074400165267,0.7744432601039047,0.6739225161022521,0.052674078815044205,0.07888183085206396,5,5,RF,CFS
data_type_within_RF_CFS,fimo,reg,precision,-4.921984795027801,0.0017498453759213083,True,-3.1129365122009705,-0.13907837022345704,0.7744432601039047,0.9135216303273618,0.052674078815044205,0.034894240196104154,5,5,RF,CFS
data_type_within_RF_CFS,deep,rp,precision,5.016452166408121,0.003854026277417701,True,3.1726829238271343,0.1888385119394912,0.8627610280417433,0.6739225161022521,0.02937600044564838,0.07888183085206396,5,5,RF,CFS
data_type_within_RF_CFS,deep,reg,precision,-2.4884098830972277,0.038437196925879165,True,-1.5738085965321145,-0.05076060228561852,0.8627610280417433,0.9135216303273618,0.02937600044564838,0.034894240196104154,5,5,RF,CFS
data_type_within_RF_CFS,rp,reg,precision,-6.211338043714205,0.0011095107680356106,True,-3.9283951070782797,-0.2395991142251097,0.6739225161022521,0.9135216303273618,0.07888183085206396,0.034894240196104154,5,5,RF,CFS
data_type_within_RF_CFS,fimo,deep,recall,-3.8905477333607363,0.006600131222934222,True,-2.4605984366050766,-0.07771536571809656,0.7917688122328341,0.8694841779509307,0.0380389454238274,0.02341212810344384,5,5,RF,CFS
data_type_within_RF_CFS,fimo,rp,recall,2.7877893159211617,0.027219599185248248,True,1.7631527749987157,0.08588665867491585,0.7917688122328341,0.7058821535579183,0.0380389454238274,0.05743476452346604,5,5,RF,CFS
data_type_within_RF_CFS,fimo,reg,recall,-5.40087167576615,0.0006817285085090867,True,-3.4158111691422914,-0.12233188276311524,0.7917688122328341,0.9141006949959494,0.0380389454238274,0.033440108393803784,5,5,RF,CFS
data_type_within_RF_CFS,deep,rp,recall,5.898198176274337,0.0016391986228818734,True,3.7303480656156425,0.1636020243930124,0.8694841779509307,0.7058821535579183,0.02341212810344384,0.05743476452346604,5,5,RF,CFS
data_type_within_RF_CFS,deep,reg,recall,-2.4439658375543316,0.04373716179881535,True,-1.545699714062553,-0.04461651704501868,0.8694841779509307,0.9141006949959494,0.02341212810344384,0.033440108393803784,5,5,RF,CFS
data_type_within_RF_CFS,rp,reg,recall,-7.005530776898939,0.0003095806587024745,True,-4.430686694681909,-0.2082185414380311,0.7058821535579183,0.9141006949959494,0.05743476452346604,0.033440108393803784,5,5,RF,CFS
data_type_within_RF_CFS,fimo,deep,auc,-1.2875166566091185,0.2394533135425633,False,-0.8142970320579396,-0.041964733893294026,0.8177251735904573,0.8596899074837513,0.060992415484889914,0.03989513240124773,5,5,RF,CFS
data_type_within_RF_CFS,fimo,rp,auc,3.1346977150831967,0.014850272941972394,True,1.9825569111576913,0.13777240222602383,0.8177251735904573,0.6799527713644334,0.060992415484889914,0.07706023310741064,5,5,RF,CFS
data_type_within_RF_CFS,fimo,reg,auc,-2.366905077899127,0.045885528529023764,True,-1.4969622103159013,-0.08636376296260839,0.8177251735904573,0.9040889365530657,0.060992415484889914,0.054192398803247395,5,5,RF,CFS
data_type_within_RF_CFS,deep,rp,auc,4.631569476734737,0.003571052544611752,True,2.9292617375592016,0.17973713611931785,0.8596899074837513,0.6799527713644334,0.03989513240124773,0.07706023310741064,5,5,RF,CFS
data_type_within_RF_CFS,deep,reg,auc,-1.4753133676994343,0.181625032160987,False,-0.9330701008847399,-0.044399029069314366,0.8596899074837513,0.9040889365530657,0.03989513240124773,0.054192398803247395,5,5,RF,CFS
data_type_within_RF_CFS,rp,reg,auc,-5.3199851383808605,0.0010130996703516845,True,-3.364654031105916,-0.22413616518863222,0.6799527713644334,0.9040889365530657,0.07706023310741064,0.054192398803247395,5,5,RF,CFS
data_type_within_RF_PCA,fimo,deep,accuracy,-2.01151110848507,0.08385447271783902,False,-1.272191328308574,-0.042749998717911075,0.8454752693253056,0.8882252680432167,0.03927081548457777,0.02676162832017415,5,5,RF,PCA
data_type_within_RF_PCA,fimo,rp,accuracy,2.4616721233787207,0.04257903793078827,True,1.5568981524839574,0.05280039338240605,0.8454752693253056,0.7926748759428995,0.03927081548457777,0.02753361602289669,5,5,RF,PCA
